,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,mean_importance
Literal_Ratio,1.6136173009872437,1.6234604120254517,1.622866153717041,1.6454474925994873,1.6487334966659546,1.657953143119812,1.6500777006149292,1.6012473106384277,1.6090039014816284,1.6262534856796265,1.6298660397529603
Female_Ratio,1.6493606567382812,1.646019697189331,1.6462082862854004,1.6242024898529053,1.6555477380752563,1.6903717517852783,1.6750346422195435,1.6034959554672241,1.6464192867279053,1.6561654806137085,1.6492825984954833
TV_dummy,1.6209818124771118,1.670609474182129,1.6490806341171265,1.6364288330078125,1.6349575519561768,1.7127957344055176,1.6738815307617188,1.6157406568527222,1.6557599306106567,1.6508197784423828,1.6521055936813354
IncomeResNonAgriBusi_dummy,1.6277942657470703,1.6037206649780273,1.607725977897644,1.5978953838348389,1.738558292388916,1.6391021013259888,1.6407071352005005,1.7034211158752441,1.6987900733947754,1.6787289381027222,1.6536443948745727
Net_dummy,1.697499394416809,1.6420342922210693,1.606967568397522,1.6641258001327515,1.683868169784546,1.7303862571716309,1.6411705017089844,1.568481683731079,1.6258288621902466,1.7032532691955566,1.6563615798950195
Respon_Age,1.66288161277771,1.6501868963241577,1.6485397815704346,1.6663976907730103,1.6927571296691895,1.677225112915039,1.6574351787567139,1.6420865058898926,1.644468903541565,1.6967853307724,1.6638764142990112
ResidInfraKachchi_dummy,1.6277375221252441,1.6782314777374268,1.665863275527954,1.7028288841247559,1.6979011297225952,1.7289683818817139,1.6454951763153076,1.6812403202056885,1.653598427772522,1.6407016515731812,1.672256624698639
ResidenceRent_dummy,1.6463788747787476,1.742549180984497,1.7574419975280762,1.6875874996185303,1.7138004302978516,1.6416189670562744,1.7157635688781738,1.6580641269683838,1.5969016551971436,1.6024481058120728,1.6762554407119752
OrgMembership,1.67351233959198,1.61765456199646,1.673032522201538,1.736331582069397,1.6932967901229858,1.740683674812317,1.7370210886001587,1.6364268064498901,1.637710452079773,1.6692726612091064,1.6814942479133606
ResidInfraPerman_dummy,1.7013599872589111,1.7154773473739624,1.6955291032791138,1.7194081544876099,1.7589490413665771,1.7319228649139404,1.7186599969863892,1.6695679426193237,1.6452224254608154,1.7362140417099,1.7092310905456543
LivingYear,1.696210503578186,1.6996946334838867,1.6886615753173828,1.7191927433013916,1.743709921836853,1.7348850965499878,1.709627628326416,1.6923496723175049,1.7063097953796387,1.7295836210250854,1.7120225191116334
Bike_dummy,1.7560442686080933,1.7723588943481445,1.732520341873169,1.7629928588867188,1.7521827220916748,1.778188705444336,1.781788945198059,1.6769064664840698,1.7891819477081299,1.7290631532669067,1.75312283039093
