,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,mean_importance
U18_Ratio,1.02120840549469,1.0570330619812012,1.054187297821045,0.986429750919342,0.9903731346130371,1.0630067586898804,1.078721284866333,1.0549730062484741,1.026110291481018,1.0127589702606201,1.034480196237564
LivingYear,1.0648165941238403,1.045732855796814,1.040788173675537,1.012874722480774,1.014816164970398,1.037680745124817,1.0303473472595215,1.0340001583099365,1.0346039533615112,1.0308252573013306,1.034648597240448
Female_Ratio,1.0660419464111328,1.054610252380371,1.0857125520706177,0.994845449924469,1.013096570968628,1.0277032852172852,1.0568486452102661,1.0332285165786743,1.0366402864456177,1.0036213397979736,1.0372348845005035
A65_Ratio,1.0573906898498535,1.1074861288070679,1.0737379789352417,0.9922142624855042,1.0702595710754395,1.0851528644561768,1.0515270233154297,1.0230512619018555,1.0000169277191162,1.0762873888015747,1.053712409734726
IncomeResWage_dummy,1.0399982929229736,1.122383952140808,1.0345628261566162,1.0280399322509766,0.9921472072601318,1.1611347198486328,1.0145119428634644,0.9621233940124512,1.1085706949234009,1.0867228507995605,1.0550195813179015
IncomeResRemit_dummy,1.1476787328720093,1.1557177305221558,1.0297517776489258,1.0478863716125488,1.0072989463806152,1.1621954441070557,0.9350928664207458,1.070986032485962,1.0587596893310547,1.1616239547729492,1.0776991546154022
HouseHead_AgriExpYear,1.0760722160339355,1.068924069404602,1.0753997564315796,1.0329415798187256,1.0506420135498047,1.1247903108596802,1.0955907106399536,1.0800275802612305,1.1388174295425415,1.0470894575119019,1.0790295124053955
Edu_year,1.0771609544754028,1.128096103668213,1.111342430114746,1.0767062902450562,1.093859076499939,1.108945608139038,1.0557054281234741,1.0195213556289673,1.0741814374923706,1.1070576906204224,1.085257637500763
Respon_Age,1.0943982601165771,1.1170786619186401,1.1244803667068481,1.0766700506210327,1.0638930797576904,1.1375181674957275,1.0814043283462524,1.1047031879425049,1.0892926454544067,1.1007766723632812,1.0990215420722962
Edu12_Ratio,1.0798487663269043,1.1285821199417114,1.1237287521362305,1.0923587083816528,1.1081352233886719,1.1650384664535522,1.100158452987671,1.1421802043914795,1.148087739944458,1.1060402393341064,1.1194158673286438
AgriSupport,1.1496505737304688,1.1513041257858276,1.187570333480835,1.1264631748199463,1.200226902961731,1.003896951675415,1.1857227087020874,0.9793786406517029,1.1875327825546265,1.1351958513259888,1.1306942045688628
IncomeResNonAgriBusi_dummy,1.1941707134246826,1.2306618690490723,1.012714147567749,1.0761338472366333,1.082434892654419,1.1094894409179688,1.1593077182769775,1.155871868133545,1.1774146556854248,1.1274142265319824,1.1325613379478454
RegularSaving,1.1968733072280884,1.0978777408599854,1.1560240983963013,1.0777533054351807,1.1434829235076904,1.1855219602584839,1.0666345357894897,1.1438599824905396,1.1442791223526,1.1462503671646118,1.1358557343482971
Net_dummy,1.1713582277297974,1.1999820470809937,1.1276658773422241,1.2188204526901245,1.1439049243927002,1.0880138874053955,1.1257479190826416,1.1108123064041138,1.2337771654129028,0.9602324962615967,1.138031530380249
